1;Дарья;Бирюкова;13.04.1992;d_biriukova;d_biriukova@gmail.com
2;Серафим;Ковалев;18.03.1967;s_kovalev;s_kovalev@yandex.ru
3;Серафима;Петрова;09.06.1996;s_petrova;s_petrova@gmail.com
4;Софья;Борисова;15.08.1970;s_borisova;s_borisova@gmail.com
5;Дарья;Кузьмина;21.06.1974;d_kuzmina;d_kuzmina@gmail.com
6;Анастасия;Новикова;26.03.1998;a_novikova;a_novikova@yandex.ru
7;Людмила;Симонова;08.03.1983;l_simonova;l_simonova@yandex.ru
8;Полина;Горбунова;15.10.1965;p_gorbunova;p_gorbunova@gmail.com
9;Полина;Дьяконова;20.09.2008;p_diakonova;p_diakonova@gmail.com
10;Иван;Одинцов;16.03.1973;i_odintsov;i_odintsov@yandex.ru
11;Матвей;Лебедев;16.07.1975;m_lebedev;m_lebedev@gmail.com
12;Павел;Зубков;03.09.1978;p_zubkov;p_zubkov@yandex.ru
13;Станислав;Третьяков;21.10.2004;s_tretiakov;s_tretiakov@yandex.ru
14;Полина;Демидова;03.02.1966;p_demidova;p_demidova@gmail.com
15;Елизавета;Ковалева;07.06.1979;e_kovaleva;e_kovaleva@yandex.ru
16;Григорий;Куликов;27.09.1999;g_kulikov;g_kulikov@gmail.com
17;Мария;Шевцова;21.02.1972;m_shevtsova;m_shevtsova@gmail.com
18;Амира;Грачева;20.05.1990;a_gracheva;a_gracheva@gmail.com
19;Руслан;Ковалев;06.09.1985;r_kovalev;r_kovalev@gmail.com
20;Даниил;Хохлов;19.05.1999;d_khokhlov;d_khokhlov@gmail.com
